id,user_location,date,text,source,Classification,Confidence
1.34E+18,"La Crescenta-Montrose, CA",20-12-20 6:06,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,Twitter for Android,Neutral,0.316
1.34E+18,"San Francisco, CA",13-12-20 16:27,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm",Twitter Web App,Neutral,0.597
1.34E+18,Your Bed,12-12-20 20:33,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,Twitter for Android,Neutral,1
1.34E+18,"Vancouver, BC - Canada",12-12-20 20:23,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4",Twitter Web App,Negative,0.279
1.34E+18,,12-12-20 20:17,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,Twitter for iPhone,Neutral,0.445
1.34E+18,"Birmingham, England",12-12-20 20:11,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN,Twitter for iPhone,Neutral,0.937
1.34E+18,"Austria, Ukraine and Kosovo",12-12-20 20:06,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP",Twitter Web App,Neutral,0.575
1.34E+18,,12-12-20 20:04,"There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx",Twitter for iPhone,Positive,0.454
1.34E+18,,12-12-20 20:01,"Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna",Twitter Web App,Negative,0.628
1.34E+18,Islamabad,12-12-20 19:30,"#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w",Twitter Web App,Neutral,0.672
1.34E+18,Turkey-Israel,12-12-20 19:29,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP",Twitter Web App,Positive,0.486
1.34E+18,,12-12-20 19:22,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,Twitter Web App,Neutral,0.821
1.34E+18,India,12-12-20 17:45,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,TweetDeck,Neutral,0.924
1.34E+18,,12-12-20 17:19,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,Twitter for iPhone,Neutral,0.624
1.34E+18,,12-12-20 17:10,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY",TweetDeck,Neutral,0.413
1.34E+18,"London, England",12-12-20 16:00,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY",Twitter for iPhone,Neutral,0.323
1.34E+18,Global,12-12-20 15:59,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW",Twitter Web App,Positive,1
1.34E+18,Türkiye,12-12-20 15:38,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F",TweetDeck,Neutral,0.915
1.34E+18,"Bristol, UK",12-12-20 15:27,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,Twitter for Android,Neutral,0.618
1.34E+18,"Los Angeles, CA",12-12-20 15:10,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD",Twitter for iPhone,Neutral,0.455
1.34E+18,,12-12-20 15:00,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,Twitter Web App,Neutral,0.453
1.34E+18,"Rochester, NY",12-12-20 14:59,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,Twitter for iPhone,Neutral,0.43
1.34E+18,"London, England",12-12-20 14:59,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",Buffer,Neutral,0.317
1.34E+18,"Mumbai, India",12-12-20 14:58,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,Twitter Web App,Neutral,1
1.34E+18,,12-12-20 14:46,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA",Twitter Web App,Negative,0.571
1.34E+18,"Nottingham, England",12-12-20 14:43,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432",Twitter Web App,Positive,0.949
1.34E+18,Turkey-Israel,12-12-20 14:42,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w",Twitter Web App,Neutral,0.807
1.34E+18,"Crete, Greece",12-12-20 14:41,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6",Twitter for iPad,Neutral,0.908
1.34E+18,"Rome, Italy",12-12-20 14:26,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg",Twitter for iPad,Neutral,0.614
1.34E+18,Not Today ,12-12-20 14:11,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,Twitter for iPhone,Neutral,0.504
1.34E+18,London,12-12-20 14:04,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f",Twitter for Android,Positive,1
1.34E+18,"Berlin, Germany",12-12-20 13:56,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,Twitter for iPhone,Neutral,0.727
1.34E+18,"Cranbury, NJ",12-12-20 13:00,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night

https://t.co/CtYGB3fNnE",TweetDeck,Neutral,0.846
1.34E+18,"Cork, Ireland",12-12-20 12:54,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,Twitter for iPhone,Positive,0.445
1.34E+18,"London, England",12-12-20 12:54,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,Twitter for Android,Neutral,0.362
1.34E+18,"Nottinghamshire, England",12-12-20 12:42,"An immigrant Muslim couple find the COVID-19 Vaccine. 

#CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud",Twitter for iPhone,Neutral,0.841
1.34E+18,,12-12-20 12:26,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD",Twitter Web App,Neutral,0.638
1.34E+18,"دبي, الامارات العربية المتحدة",12-12-20 12:20,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️",Twitter for Android,Neutral,0.765
1.34E+18,USA🇺🇸,12-12-20 12:19,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

#PfizerBioNTech 
#CovidVaccine 

https://t.co/xRaOiACZSD",Twitter Web App,Neutral,0.445
1.34E+18,"Wales, United Kingdom",12-12-20 12:19,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w… https://t.co/5r6ibs8Jm8,Twitter Web App,Positive,0.971
1.34E+18,"Wales, United Kingdom",12-12-20 12:16,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd",Twitter Web App,Positive,1
1.34E+18,USA🇺🇸,12-12-20 12:16,"FACT SHEET FOR RECIPIENTS AND CAREGIVERS

#PfizerBioNTech 
#CovidVaccine 

https://t.co/V0mn08VTwj",Twitter Web App,Neutral,0.849
1.34E+18,,12-12-20 12:12,#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl,Twitter for iPhone,Positive,0.451
1.34E+18,"London, England",12-12-20 11:59,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/6379SZjNQi",Twitter Web App,Neutral,0.648
1.34E+18,Egypt,12-12-20 11:55,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG",Twitter Web App,Neutral,0.598
1.34E+18,America,20-12-20 8:15,"When The #CovidVaccine 
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i",Twitter Web App,Positive,0.422
1.34E+18,,19-12-20 14:31,@realDonaldTrump Dairy dose of dumbsville by #DonTheCon #GrifterInChief #TrumpForPrison #TrumpCrimeFamily #COVID… https://t.co/gyiCvTuMOP,Twitter for Android,Neutral,0.68
